metric_id,campaign_id,impressions,clicks,conversions,bounces,metric_date
1,101,14019,1418,427,155,04-10-2017
2,101,24560,1590,402,142,03-10-2017
3,101,11482,580,194,180,30-09-2017
4,101,20166,1817,332,139,07-10-2017
5,101,17636,1183,287,156,05-10-2017
6,101,14165,1121,494,157,06-10-2017
7,101,7254,435,28,40,02-10-2017
8,101,3056,193,390,90,08-10-2017
9,101,18151,1601,484,72,01-10-2017
10,101,20541,548,123,19,29-09-2017
11,102,8796,643,251,96,07-12-2017
12,102,23580,2111,381,168,10-12-2017
13,102,18197,1904,368,86,04-12-2017
14,102,18499,1881,498,151,08-12-2017
15,102,13847,776,18,6,09-12-2017
16,102,18375,1360,217,184,05-12-2017
17,102,22701,1187,224,97,06-12-2017
18,102,3647,236,471,154,11-12-2017
19,103,4147,247,128,9,07-03-2016
20,103,21888,1766,224,96,09-03-2016
21,103,21742,2120,238,106,06-03-2016
22,103,22683,1275,398,107,13-03-2016
23,103,17904,695,15,4,02-03-2016
24,103,10521,1124,326,111,29-02-2016
25,103,21951,1136,207,5,03-03-2016
26,103,5030,512,468,192,08-03-2016
27,103,22102,668,415,184,11-03-2016
28,103,15232,457,53,189,28-02-2016
29,103,18463,1049,64,36,01-03-2016
30,103,13595,954,351,27,10-03-2016
31,103,9150,783,291,158,04-03-2016
32,103,23415,1811,113,181,12-03-2016
33,104,17266,720,241,133,11-08-2017
34,104,18910,1113,195,91,18-08-2017
35,104,10699,391,373,144,08-08-2017
36,104,6670,555,334,141,17-08-2017
37,104,6386,409,181,52,12-08-2017
38,104,19589,1610,102,121,07-08-2017
39,104,3416,290,210,74,09-08-2017
40,104,12481,886,300,50,15-08-2017
41,104,13715,1401,276,21,10-08-2017
42,104,23945,617,492,138,13-08-2017
43,104,3504,378,176,139,16-08-2017
44,104,18967,2245,265,120,14-08-2017
45,105,6977,151,241,111,09-11-2016
46,105,8439,574,379,91,15-10-2016
47,105,23837,1651,100,21,18-10-2016
48,105,6060,510,236,38,20-10-2016
49,105,20319,501,231,103,11-10-2016
50,105,11184,712,86,103,16-10-2016
51,105,17874,1392,363,154,19-10-2016
52,105,20216,2292,436,173,13-10-2016
53,105,24716,1027,87,79,08-11-2016
54,105,11149,432,481,81,25-10-2016
55,105,20467,575,181,106,29-10-2016
56,105,9879,736,217,65,21-10-2016
57,105,3117,252,418,172,28-10-2016
58,105,6319,559,96,161,01-11-2016
59,106,7141,830,405,77,01-02-2017
60,106,24977,1224,259,36,28-01-2017
61,106,17748,1251,482,142,04-02-2017
62,106,10847,1182,234,141,29-01-2017
63,106,15044,1136,376,110,31-01-2017
64,106,23663,536,32,83,03-02-2017
65,106,11315,631,398,182,02-02-2017
66,106,5046,272,368,107,27-01-2017
67,106,11078,597,307,39,26-01-2017
68,106,21356,1552,207,162,30-01-2017
69,107,9512,242,135,72,08-09-2017
70,107,12739,297,92,137,14-09-2017
71,107,6548,366,141,135,09-09-2017
72,107,3349,152,442,155,15-09-2017
73,107,15109,1582,335,92,10-09-2017
74,107,10816,1008,21,60,12-09-2017
75,107,21375,1365,450,190,13-09-2017
76,107,21077,606,94,126,11-09-2017
77,108,8161,739,322,81,30-05-2016
78,108,16213,1277,291,79,17-05-2016
79,108,5431,262,452,144,15-05-2016
80,108,18787,1867,491,7,28-05-2016
81,108,23281,1730,377,16,06-06-2016
82,108,8037,803,257,68,20-05-2016
83,109,3040,99,202,8,20-03-2016
84,109,4962,289,116,10,17-03-2016
85,109,8706,1042,72,31,04-04-2016
86,109,14038,1461,142,21,11-03-2016
87,109,24163,977,174,48,16-03-2016
88,109,21869,667,175,61,29-03-2016
89,109,14709,510,326,174,05-04-2016
90,109,4697,554,197,164,07-04-2016
91,109,21432,1807,418,51,31-03-2016
92,109,9607,700,472,170,01-04-2016
93,109,15230,304,99,35,24-03-2016
94,109,20169,2341,9,67,21-03-2016
95,109,5466,411,136,116,13-03-2016
96,109,4994,179,286,152,06-04-2016
97,110,20083,2016,393,112,29-11-2017
98,110,21244,676,144,66,23-12-2017
99,110,3852,269,157,63,24-11-2017
100,110,19114,1887,285,137,22-12-2017
101,110,18220,847,42,45,17-12-2017
102,110,13454,984,467,2,20-12-2017
103,110,24847,2554,49,8,04-12-2017
104,110,14782,532,262,145,13-11-2017
105,110,5245,481,327,111,23-11-2017
106,110,18509,469,289,151,14-11-2017
107,110,20488,790,219,134,08-12-2017
108,111,10279,1032,106,12,08-11-2017
109,111,22285,1397,201,176,12-11-2017
110,111,11062,864,217,141,26-10-2017
111,111,21011,1498,281,25,12-10-2017
112,111,11436,801,283,97,10-11-2017
113,111,23173,2547,351,190,07-11-2017
114,111,24463,2840,106,51,19-10-2017
115,111,10921,581,44,48,21-11-2017
116,111,7218,860,117,17,29-10-2017
117,111,7787,667,52,155,17-11-2017
118,111,5537,660,60,116,20-11-2017
119,111,9795,443,410,40,20-10-2017
120,111,22322,1680,480,48,24-10-2017
121,112,16063,1419,73,92,17-07-2017
122,112,10774,252,288,13,15-07-2017
123,112,11459,700,84,77,19-07-2017
124,112,13744,335,227,6,23-07-2017
125,112,18849,1145,298,178,28-07-2017
126,113,4906,340,297,128,23-12-2017
127,113,7817,468,493,19,16-12-2017
128,113,18653,1689,96,81,05-01-2018
129,113,14370,995,100,139,21-12-2017
130,113,6737,625,244,138,29-12-2017
131,113,3515,386,139,1,09-01-2018
132,113,10992,870,168,197,19-12-2017
133,113,9820,361,23,98,07-01-2018
134,113,14917,510,279,47,06-01-2018
135,113,6794,135,402,177,14-01-2018
136,114,3615,117,165,161,20-02-2017
137,114,15551,354,364,191,01-03-2017
138,114,17522,769,38,132,19-02-2017
139,114,20456,1762,65,112,21-02-2017
140,114,12116,1432,348,159,27-02-2017
141,114,13914,829,393,166,25-02-2017
142,114,9566,803,314,101,28-02-2017
143,114,15363,1557,372,105,18-02-2017
144,114,5107,125,200,78,23-02-2017
145,114,10524,1174,313,155,24-02-2017
146,114,11649,946,347,193,22-02-2017
147,114,22366,2549,486,116,26-02-2017
148,115,23743,1712,135,100,01-07-2016
149,115,12840,624,303,185,29-07-2016
150,115,13616,949,8,126,04-07-2016
151,115,23042,1638,461,69,02-07-2016
152,115,12510,370,14,135,30-07-2016
153,115,9778,866,245,151,27-07-2016
154,115,3505,395,341,167,31-07-2016
155,115,16109,726,325,97,15-07-2016
156,115,24023,2083,89,164,24-07-2016
157,115,24079,1514,59,89,07-07-2016
158,116,7990,653,152,63,02-02-2017
159,116,11502,637,49,178,07-02-2017
