campaign_id,product_id,channel_id,budget,end_date,start_date,campaign_type
1481,OFF-BI-10004230,7,8717,09-06-2018,09-10-2017,Loyalty Campaign
366,FUR-TA-10000617,5,13895,13-03-2018,12-12-2017,First-Time Buyer Campaign
656,TEC-AC-10002006,3,8285,08-06-2018,03-04-2018,First-Time Buyer Campaign
856,TEC-PH-10004908,6,17384,09-10-2017,28-03-2017,Retargeting
136,OFF-BI-10000138,5,14041,14-09-2017,18-06-2017,Discount
870,TEC-AC-10002926,6,16772,14-01-2018,18-01-2017,Retargeting
1144,OFF-PA-10000809,1,13599,29-12-2017,03-05-2017,Flash Sale
980,OFF-ST-10000877,4,11145,18-12-2017,01-03-2017,Retargeting
862,FUR-FU-10004622,1,15276,18-05-2017,25-01-2017,Discount
607,TEC-PH-10003800,7,20139,11-02-2018,03-10-2017,Conversion Campaign
199,FUR-CH-10004495,7,11323,05-02-2018,03-02-2017,Engagement Campaign
313,FUR-CH-10004495,1,7463,01-02-2018,01-04-2017,Win-Back Campaign
532,FUR-CH-10004495,5,13095,20-01-2018,14-08-2017,Flash Sale
1433,FUR-CH-10004495,3,6209,27-01-2018,08-06-2017,Loyalty Campaign
318,OFF-PA-10004475,5,35370,21-11-2017,02-07-2017,Brand Awareness
1216,FUR-FU-10001889,2,14168,17-06-2018,15-06-2017,Win-Back Campaign
1410,FUR-FU-10001889,1,10431,01-06-2018,06-07-2017,Flash Sale
186,FUR-FU-10003708,5,10465,02-04-2018,03-07-2017,First-Time Buyer Campaign
284,OFF-EN-10001335,4,16520,03-11-2017,07-08-2017,Discount
1346,OFF-EN-10001335,7,7912,29-11-2017,24-07-2017,Retargeting
1408,OFF-PA-10000327,5,9610,02-06-2018,28-03-2018,Flash Sale
1100,OFF-ST-10000078,1,7917,25-07-2018,22-11-2017,Flash Sale
203,FUR-FU-10001379,7,12064,02-07-2017,21-11-2016,First-Time Buyer Campaign
729,OFF-AR-10000588,7,32482,25-08-2018,04-06-2018,Product Launch
115,TEC-AC-10001013,1,9821,27-08-2017,07-05-2017,Discount
520,TEC-AC-10001013,1,13865,04-08-2017,10-02-2017,Loyalty Campaign
722,TEC-AC-10001013,3,34830,08-09-2017,22-01-2017,Seasonal Sale
1260,TEC-AC-10001013,2,10135,23-08-2017,21-02-2017,Loyalty Campaign
1341,TEC-AC-10001013,3,7062,20-08-2017,24-06-2017,First-Time Buyer Campaign
283,TEC-MA-10000752,6,17908,12-02-2018,13-12-2017,First-Time Buyer Campaign
398,FUR-FU-10004586,7,17441,24-08-2018,01-07-2018,Seasonal Sale
1022,FUR-FU-10004586,7,40698,03-08-2018,13-11-2017,Product Launch
384,OFF-BI-10003982,5,6220,20-02-2017,14-08-2016,Flash Sale
1304,OFF-BI-10003982,5,13016,16-02-2017,11-04-2016,Flash Sale
1448,OFF-BI-10003982,5,5642,14-03-2017,30-09-2016,Flash Sale
874,OFF-LA-10002312,4,32575,02-01-2018,26-09-2017,Seasonal Sale
801,FUR-TA-10001520,1,14233,24-12-2017,18-02-2017,Flash Sale
1049,FUR-TA-10001520,6,39499,12-12-2017,03-11-2017,Product Launch
1102,FUR-TA-10001520,1,8409,15-12-2017,19-07-2017,Loyalty Campaign
320,OFF-BI-10001031,5,44226,11-12-2017,22-01-2017,Product Launch
1437,OFF-FA-10001883,4,13578,19-12-2017,23-06-2017,Engagement Campaign
258,OFF-ST-10001713,7,11475,26-12-2017,28-05-2017,Win-Back Campaign
210,OFF-LA-10004853,5,10266,10-12-2017,13-08-2017,Flash Sale
808,OFF-LA-10004853,6,11380,28-12-2017,06-02-2017,Flash Sale
629,OFF-SU-10000646,5,17567,01-04-2018,20-07-2017,Retargeting
819,OFF-SU-10000646,1,8004,26-04-2018,17-11-2017,Retargeting
208,OFF-BI-10004233,2,55125,01-07-2018,17-10-2017,Brand Awareness
230,FUR-FU-10000723,2,32871,29-06-2018,27-09-2017,Brand Awareness
1128,FUR-FU-10000723,5,28032,27-06-2018,27-04-2018,Seasonal Sale
219,OFF-LA-10003190,7,51105,30-10-2017,22-02-2017,Brand Awareness
522,TEC-AC-10001109,6,13147,04-12-2017,04-10-2017,First-Time Buyer Campaign
845,OFF-FA-10003485,2,9162,29-11-2017,08-01-2017,Discount
685,FUR-CH-10000225,1,16784,28-11-2017,28-03-2017,Discount
1535,FUR-CH-10000225,1,10966,03-01-2018,10-10-2017,First-Time Buyer Campaign
407,FUR-FU-10003347,5,11123,04-12-2017,27-06-2017,Retargeting
1505,OFF-AR-10002053,5,8355,06-12-2017,23-07-2017,Loyalty Campaign
800,TEC-PH-10004100,1,23377,06-12-2017,29-12-2016,Conversion Campaign
1557,TEC-PH-10004100,5,42198,20-12-2017,29-12-2016,Brand Awareness
727,OFF-FA-10000992,2,20480,26-08-2017,01-06-2017,Engagement Campaign
135,OFF-AR-10000390,3,24888,19-09-2017,10-10-2016,Engagement Campaign
1351,OFF-AR-10000390,5,11337,26-08-2017,04-02-2017,First-Time Buyer Campaign
165,FUR-FU-10001424,7,32610,22-08-2017,15-12-2016,Seasonal Sale
1443,OFF-FA-10001332,1,51328,27-08-2017,17-07-2017,Brand Awareness
873,FUR-FU-10003664,2,15421,11-03-2017,09-03-2016,Retargeting
900,OFF-FA-10003059,7,27262,09-09-2018,27-06-2018,Brand Awareness
294,TEC-MA-10000822,5,15488,24-05-2018,30-10-2017,Win-Back Campaign
1375,OFF-BI-10003719,3,16800,02-06-2018,31-01-2018,Conversion Campaign
835,OFF-BI-10001670,7,6515,18-06-2018,10-09-2017,Win-Back Campaign
1036,OFF-AR-10001427,6,15028,28-10-2017,24-01-2017,Seasonal Sale
797,FUR-TA-10004607,4,7866,28-11-2017,23-11-2016,Retargeting
1531,TEC-PH-10004977,6,17663,27-08-2017,15-08-2016,Seasonal Sale
200,FUR-FU-10000550,3,10338,14-06-2017,08-11-2016,Retargeting
589,FUR-FU-10000550,2,20474,28-06-2017,26-07-2016,Conversion Campaign
984,FUR-FU-10000550,3,9618,03-07-2017,17-11-2016,Win-Back Campaign
858,FUR-FU-10001468,3,11007,17-05-2018,09-02-2018,Retargeting
1499,FUR-FU-10001468,3,15449,06-05-2018,24-04-2017,Discount
853,OFF-AR-10000940,3,13011,02-06-2018,05-09-2017,Conversion Campaign
1048,OFF-PA-10001800,1,11604,21-07-2018,22-06-2017,First-Time Buyer Campaign
287,OFF-PA-10004101,3,24480,14-10-2017,24-01-2017,Conversion Campaign
1294,OFF-PA-10004101,3,6836,06-11-2017,23-07-2017,First-Time Buyer Campaign
128,OFF-EN-10001415,5,26602,19-07-2017,02-01-2017,Product Launch
673,OFF-EN-10001415,7,33663,19-07-2017,12-08-2016,Brand Awareness
343,OFF-BI-10003718,1,13303,20-12-2017,17-06-2017,First-Time Buyer Campaign
732,OFF-BI-10003718,7,5714,27-12-2017,08-12-2016,Loyalty Campaign
778,OFF-BI-10003718,5,14188,19-12-2017,11-07-2017,Win-Back Campaign
133,OFF-ST-10002301,4,48765,03-08-2018,12-10-2017,Brand Awareness
1117,OFF-ST-10002301,4,14966,28-08-2018,01-02-2018,Loyalty Campaign
562,FUR-BO-10004834,4,28157,05-08-2018,03-10-2017,Conversion Campaign
1081,OFF-BI-10004410,4,40723,15-03-2018,20-01-2018,Brand Awareness
1194,OFF-BI-10004410,4,39006,03-03-2018,25-10-2017,Product Launch
596,OFF-LA-10003510,3,10642,09-03-2018,02-12-2017,Discount
1510,OFF-LA-10003510,6,44720,03-04-2018,04-11-2017,Brand Awareness
1241,OFF-BI-10004593,3,33417,27-02-2018,13-12-2017,Brand Awareness
1497,OFF-BI-10004593,2,47990,09-03-2018,16-09-2017,Brand Awareness
371,OFF-ST-10001490,2,13285,25-01-2018,17-07-2017,Engagement Campaign
997,OFF-ST-10001490,7,23209,12-02-2018,14-08-2017,Engagement Campaign
749,OFF-BI-10002215,6,45456,23-02-2018,14-07-2017,Brand Awareness
878,OFF-BI-10002215,7,42387,01-02-2018,10-02-2017,Product Launch
712,FUR-CH-10001146,7,14175,25-02-2018,10-05-2017,Discount
982,FUR-CH-10001146,2,39008,25-02-2018,02-09-2017,Brand Awareness
1275,OFF-AR-10001860,5,52158,01-11-2017,25-09-2017,Brand Awareness
196,OFF-PA-10003657,3,10223,03-09-2018,05-07-2018,Flash Sale
204,OFF-BI-10002393,7,12020,17-09-2018,02-09-2017,Retargeting
420,OFF-BI-10002393,3,8827,17-09-2018,02-10-2017,Loyalty Campaign
1553,OFF-ST-10000689,3,16439,28-05-2017,02-01-2017,First-Time Buyer Campaign
452,FUR-CH-10002961,3,8348,29-05-2017,26-11-2016,Retargeting
358,FUR-FU-10004665,1,9875,18-05-2017,29-07-2016,First-Time Buyer Campaign
985,TEC-PH-10003555,7,6396,24-03-2018,14-09-2017,Win-Back Campaign
1080,TEC-PH-10003555,7,37919,22-03-2018,13-09-2017,Seasonal Sale
514,OFF-LA-10004484,6,6284,31-03-2018,17-07-2017,Win-Back Campaign
