order_id,payment_value,payment_type,payment_installments
CA-2014-100006,82.89600372,credit_card,2
CA-2014-100090,2854.699951,credit_card,4
CA-2014-100293,79.36000061,credit_card,5
CA-2014-100328,89.54399872,debit_card,6
CA-2014-100363,354,credit_card,8
CA-2014-100391,76.7519989,credit_card,4
CA-2014-100678,269.0480042,credit_card,2
CA-2014-100706,492.3760071,credit_card,1
CA-2014-100762,757.5700073,credit_card,5
CA-2014-100860,113.8880005,credit_card,10
CA-2014-100867,219.8399963,credit_card,8
CA-2014-100881,31.55999947,credit_card,3
CA-2014-100895,1127.310059,credit_card,2
CA-2014-100916,52.69599915,credit_card,1
CA-2014-100972,8.56000042,credit_card,5
CA-2014-101147,848.5440063,credit_card,5
CA-2014-101175,87.59999847,credit_card,2
CA-2014-101266,26.71999931,credit_card,3
CA-2014-101364,47.61600113,credit_card,3
CA-2014-101392,26.54999924,credit_card,8
CA-2014-101427,46.86399841,credit_card,4
CA-2014-101462,30.34499931,credit_card,2
CA-2014-101476,21.24799919,credit_card,10
CA-2014-101560,212.802002,credit_card,1
CA-2014-101602,103.3440018,credit_card,3
CA-2014-101770,9.871999741,credit_card,3
CA-2014-101833,8.600000381,credit_card,1
CA-2014-101931,231.526001,debit_card,10
CA-2014-102085,240.3699951,debit_card,1
CA-2014-102274,267.0440063,credit_card,2
CA-2014-102295,251.0059967,credit_card,1
CA-2014-102330,2816.47998,credit_card,1
CA-2014-102645,815.2919922,credit_card,8
CA-2014-102652,698.7199707,credit_card,6
CA-2014-102673,760.6380005,credit_card,3
CA-2014-102869,89.44000244,debit_card,10
CA-2014-102988,557.1040039,credit_card,4
CA-2014-103058,6.912000179,credit_card,4
CA-2014-103086,1099.959961,credit_card,10
CA-2014-103100,42.94200134,credit_card,3
CA-2014-103191,17.89999962,credit_card,2
CA-2014-103219,3.619999886,credit_card,6
CA-2014-103310,3150.102051,credit_card,4
CA-2014-103317,575.8950195,debit_card,1
CA-2014-103366,3.983999968,voucher,10
CA-2014-103373,27.81599998,credit_card,12
CA-2014-103401,14.72999954,credit_card,1
CA-2014-103429,1028.465942,debit_card,8
CA-2014-103492,231.6759949,credit_card,2
CA-2014-103527,19.97999954,credit_card,4
CA-2014-103590,45.36000061,credit_card,5
CA-2014-103660,8.92800045,credit_card,8
CA-2014-103702,3,debit_card,7
CA-2014-103744,48.2859993,credit_card,8
CA-2014-103800,14.39999962,credit_card,1
CA-2014-103807,233.2599945,credit_card,2
CA-2014-103849,663.5999756,credit_card,1
CA-2014-103940,4672.423828,debit_card,6
CA-2014-103989,195.1179962,credit_card,3
CA-2014-104178,836.7299805,debit_card,7
CA-2014-104269,20.81999969,credit_card,1
CA-2014-104283,373.3760071,credit_card,5
CA-2014-104402,7.900000095,credit_card,10
CA-2014-104472,34.31999969,credit_card,10
CA-2014-104563,1468.927979,credit_card,3
CA-2014-104738,683.0219727,credit_card,1
CA-2014-104773,58.08000183,voucher,3
CA-2014-104808,4.960000038,credit_card,1
CA-2014-104829,79.97399902,credit_card,10
CA-2014-104976,19.92000008,credit_card,4
CA-2014-105165,757.0180054,debit_card,2
CA-2014-105172,559.710022,credit_card,10
CA-2014-105249,1425.547974,credit_card,2
CA-2014-105270,1170.57605,credit_card,5
CA-2014-105340,180.9600067,credit_card,10
CA-2014-105417,78.35199738,credit_card,2
CA-2014-105648,103.5999985,debit_card,2
CA-2014-105872,16.37999916,credit_card,8
CA-2014-105893,335.519989,credit_card,2
CA-2014-105984,202.5800018,credit_card,2
CA-2014-106054,474.9500122,credit_card,3
CA-2014-106229,310.4429932,credit_card,6
CA-2014-106264,357.4840088,credit_card,1
CA-2014-106376,77.88999939,credit_card,10
CA-2014-106439,4701.36377,credit_card,3
CA-2014-106572,26,credit_card,10
CA-2014-106719,4.572000027,credit_card,3
CA-2014-106726,82.80000305,credit_card,1
CA-2014-106803,144.4499969,credit_card,1
CA-2014-106810,1439.982056,credit_card,3
CA-2014-106971,38.81999969,credit_card,10
CA-2014-107139,19.10400009,credit_card,5
CA-2014-107181,35.68199921,credit_card,1
CA-2014-107398,123.5400009,credit_card,10
CA-2014-107454,1150.97998,credit_card,1
CA-2014-107524,248.2480011,credit_card,1
CA-2014-107573,113.3720016,credit_card,10
CA-2014-107594,49.24000168,credit_card,1
CA-2014-107755,6.912000179,debit_card,2
CA-2014-107769,254.352005,debit_card,4
CA-2014-107811,63.31200027,credit_card,1
CA-2014-107818,56.40000153,credit_card,2
CA-2014-107916,229.1360016,debit_card,2
CA-2014-108147,1399.359985,credit_card,8
CA-2014-108182,14.61999989,credit_card,2
CA-2014-108189,990.953186,credit_card,4
CA-2014-108273,203.1600037,credit_card,3
CA-2014-108609,79.90000153,credit_card,5
CA-2014-108707,67.1760025,credit_card,2
CA-2014-108861,181.7969971,credit_card,4
CA-2014-108903,1737.599976,credit_card,3
CA-2014-109043,44.12799835,credit_card,3
CA-2014-109127,4.447999954,credit_card,2
CA-2014-109134,257.9400024,credit_card,2
CA-2014-109218,13.63199997,credit_card,2
CA-2014-109232,82.34400177,credit_card,3
CA-2014-109302,652.9949951,voucher,10
CA-2014-109491,416.6640015,credit_card,1
CA-2014-109680,34.5,credit_card,8
CA-2014-109855,50.99700165,credit_card,4
CA-2014-109890,108.0800018,credit_card,1
CA-2014-109897,25.0720005,debit_card,4
CA-2014-109904,795.40802,debit_card,8
CA-2014-109918,254.223999,credit_card,3
CA-2014-109932,101.8840027,credit_card,2
CA-2014-110030,196.2100067,credit_card,10
CA-2014-110065,68.98000336,credit_card,5
CA-2014-110072,10.42800045,credit_card,4
CA-2014-110100,7.104000092,credit_card,7
CA-2014-110184,167.1719971,credit_card,2
CA-2014-110219,568.7280273,debit_card,10
CA-2014-110408,46.31399918,credit_card,6
CA-2014-110527,15.55200005,credit_card,3
CA-2014-110555,590.4320068,credit_card,3
CA-2014-110611,91.03199768,credit_card,10
CA-2014-110639,435.9159851,credit_card,5
CA-2014-110786,1854.421997,credit_card,3
CA-2014-110849,252.6179962,credit_card,5
CA-2014-111003,285.25,credit_card,2
CA-2014-111059,18.20700073,credit_card,10
CA-2014-111150,82.23999786,credit_card,5
CA-2014-111157,753.9060059,credit_card,10
CA-2014-111192,2.079999924,credit_card,10
CA-2014-111360,11.56000042,credit_card,3
CA-2014-111451,2449.836914,debit_card,2
CA-2014-111500,2040.099976,credit_card,4
CA-2014-111773,31.1760006,credit_card,10
CA-2014-111857,38.70999908,credit_card,2
CA-2014-111871,20.70000076,credit_card,2
CA-2014-111899,1125.920044,credit_card,2
CA-2014-111934,86.25,credit_card,3
CA-2014-111962,120.1439972,credit_card,2
CA-2014-112158,90.71199799,credit_card,5
CA-2014-112291,791.6799927,credit_card,1
CA-2014-112326,37.2480011,voucher,4
CA-2014-112403,91.95999908,voucher,2
CA-2014-112718,85.98000336,credit_card,2
CA-2014-112837,227.9759979,credit_card,5
CA-2014-112851,8.225999832,credit_card,6
CA-2014-113047,11.7840004,credit_card,2
CA-2014-113257,681.1900024,credit_card,7
CA-2014-113271,1239.871948,debit_card,2
CA-2014-113320,67.26899719,credit_card,1
CA-2014-113362,1694.160034,credit_card,2
CA-2014-113383,645.8220215,credit_card,3
CA-2014-113579,414,credit_card,6
CA-2014-113768,967.9199829,credit_card,7
CA-2014-113859,515.8800049,credit_card,4
CA-2014-113880,109.9199982,credit_card,2
CA-2014-113887,67.83999634,credit_card,5
CA-2014-113929,359.0740051,credit_card,1
CA-2014-113964,73.56800079,credit_card,2
CA-2014-114125,136.2960052,credit_card,1
CA-2014-114181,184.4360046,credit_card,3
CA-2014-114195,509.3800049,credit_card,10
CA-2014-114251,1411.637939,credit_card,5
CA-2014-114314,361.3999939,credit_card,10
CA-2014-114321,448.3320007,credit_card,4
CA-2014-114335,14.3039999,credit_card,9
CA-2014-114433,31.84000015,debit_card,4
CA-2014-114510,993.8640137,credit_card,9
CA-2014-114517,766.7199707,credit_card,6
CA-2014-114643,13.92000008,credit_card,8
CA-2014-114790,1237.416016,credit_card,10
CA-2014-115056,419.8999939,credit_card,2
CA-2014-115084,841.5679932,credit_card,10
CA-2014-115133,404.4660034,credit_card,2
CA-2014-115161,10.36800003,credit_card,1
CA-2014-115259,768.0759888,credit_card,2
CA-2014-115357,546.6599731,credit_card,1
CA-2014-115791,1382.47998,credit_card,1
CA-2014-115812,1638.004028,credit_card,12
CA-2014-115889,395.506012,credit_card,2
CA-2014-115973,50.31999969,debit_card,3
CA-2014-115980,201.7400055,credit_card,1
CA-2014-116190,2122.917969,credit_card,8
CA-2014-116239,209.6999969,credit_card,2
CA-2014-116246,45.97999954,debit_card,3
CA-2014-116407,1108,credit_card,10
CA-2014-116568,124.3600006,credit_card,2
CA-2014-116666,177.9799957,debit_card,10
CA-2014-116673,163.8800049,credit_card,2
CA-2014-116757,589.335022,credit_card,1
CA-2014-116785,217.2754974,credit_card,4
CA-2014-116834,258.6000061,credit_card,5
CA-2014-116904,709.302002,credit_card,3
CA-2014-116932,564.5040283,credit_card,10
CA-2014-117016,319.9679871,credit_card,1
CA-2014-117345,1327.437988,credit_card,3
CA-2014-117429,121.7919998,voucher,10
CA-2014-117464,319.8080139,credit_card,3
CA-2014-117478,120.9800034,voucher,2
CA-2014-117639,37.09999847,credit_card,1
CA-2014-117709,89.99099731,debit_card,2
CA-2014-117765,224.0399933,credit_card,4
CA-2014-118192,316.1679993,credit_card,1
